5411,26806512444 1,95995803055026E-05
6305,61787889292 2,21850175848801E-05
7199,9676926614 1,28726884927603E-05
8094,31750642988 1,49164237529672E-05
8988,66732019836 2,83825091838699E-05
9883,01713396685 1,54066089343093E-05
10777,3669477353 2,37297870458454E-05
11671,7167615038 1,42389704906478E-05
12566,0665752723 2,42557321605238E-05
13460,4163890408 3,52555418291142E-05
14354,7662028092 2,88115385351873E-05
15249,1160165777 3,07614499425532E-05
16143,4658303462 3,18921477603305E-05
17037,8156441147 5,00469550648119E-05
17932,1654578832 6,70297435742123E-05
18826,5152716517 5,46967811607277E-05
19720,8650854201 1,48720681537631E-05
20615,2148991886 0,000152689514364172
21509,5647129571 0,000133090090584461
22403,9145267256 0,000127274132863339
23298,2643404941 8,49371500564815E-05
24192,6141542625 0,000268256374764578
25086,963968031 0,00024760032049497
25981,3137817995 0,000225318284490231
26875,663595568 8,0777374052711E-05
27770,0134093365 0,000236258946088084
28664,3632231049 0,000363442704275886
29558,7130368734 0,000418710267731471
30453,0628506419 0,000158845075671689
31347,4126644104 0,000171748359485619
32241,7624781789 0,000227482109045595
33136,1122919473 0,000361864762923213
34030,4621057158 0,000500182051413305
34924,8119194843 0,00021403786500117
35819,1617332528 0,000366661146505256
36713,5115470213 5,5999947484298E-05
37607,8613607897 0,000540995092638245
38502,2111745582 0,000384257238888217
39396,5609883267 0,000740791714563696
40290,9108020952 0,000244445039245352
41185,2606158637 0,000342535683309411
42079,6104296321 0,000412713444180386
42973,9602434006 0,000618275633206866
43868,3100571691 0,000537289829342001
44762,6598709376 0,000525437729934142
45657,0096847061 0,000171729457684983
46551,3594984745 0,000276853570914526
47445,709312243 0,000206811323661923
48340,0591260115 0,000404919482419273
49234,40893978 0,000682968748700045
50128,7587535485 0,000437719581584774
51023,1085673169 0,000362680139164149
51917,4583810854 0,000340775019909161
52811,8081948539 0,000223778104948661
53706,1580086224 0,000475766118696669
54600,5078223909 0,000482752479185178
55494,8576361594 0,000307576838952752
56389,2074499278 0,00031743202807647
57283,5572636963 0,000186876151353355
58177,9070774648 0,00013696262805649
59072,2568912333 0,000226486208426067
59966,6067050018 0,000422522386745579
60860,9565187702 0,000388215302951961
61755,3063325387 0,000428963829376275
62649,6561463072 0,000219741202022204
63544,0059600757 0,00019728479728155
64438,3557738442 0,000243167620528122
65332,7055876126 0,000202666852548813
66227,0554013811 0,000402383671082034
67121,4052151496 0,000361345362014846
68015,7550289181 0,000373947371376908
68910,1048426865 0,000277521257140002
69804,454656455 0,000153457181599442
70698,8044702235 0,000137532844449748
71593,154283992 0,000154607364287037
72487,5040977605 0,000189513034433198
