5411,26806512444 2,98423351322829E-05
6305,61787889292 5,14870256904586E-05
7199,9676926614 4,76447169210585E-05
8094,31750642988 6,86786970647723E-05
8988,66732019836 4,97974192113096E-05
9883,01713396685 4,91685709603137E-05
10777,3669477353 2,27017362724102E-05
11671,7167615038 2,79763440272101E-05
12566,0665752723 1,60688372345995E-05
13460,4163890408 1,86194694956282E-05
14354,7662028092 5,74728434043517E-05
15249,1160165777 6,13163075135171E-05
16143,4658303462 8,14453686099179E-05
17037,8156441147 0,000104060392472672
17932,1654578832 0,000159829119474549
18826,5152716517 0,000164433808125687
19720,8650854201 0,000162477254154989
20615,2148991886 0,000287440830912877
21509,5647129571 0,00021816713142409
22403,9145267256 0,000310241265455283
23298,2643404941 0,000402144722124971
24192,6141542625 0,000444146526053405
25086,963968031 0,000392236898310879
25981,3137817995 0,000535065095510315
26875,663595568 0,000549524180685599
27770,0134093365 0,000586755706633838
28664,3632231049 0,000561332896945131
29558,7130368734 0,000808877908546719
30453,0628506419 0,00078427684574168
31347,4126644104 0,000745544827130083
32241,7624781789 0,000796666275065724
33136,1122919473 0,000882220374593065
34030,4621057158 0,00108460257391387
34924,8119194843 0,000994795384071259
35819,1617332528 0,000964586350657968
36713,5115470213 0,00101813237009636
37607,8613607897 0,00129602358761807
38502,2111745582 0,00130058326489926
39396,5609883267 0,000982831619987711
40290,9108020952 0,00119551914182028
41185,2606158637 0,00129261855808618
42079,6104296321 0,00144252196944952
42973,9602434006 0,00132311344825938
43868,3100571691 0,00125158326091331
44762,6598709376 0,00140375960650455
45657,0096847061 0,00139371133969246
46551,3594984745 0,00160001948297454
47445,709312243 0,00147137095489278
48340,0591260115 0,00119616934608284
49234,40893978 0,00139537446205031
50128,7587535485 0,00167678608947619
51023,1085673169 0,00149898984587713
51917,4583810854 0,00128653843275738
52811,8081948539 0,00121615698119158
53706,1580086224 0,00137160521580551
54600,5078223909 0,00176250700576611
55494,8576361594 0,00131504243033441
56389,2074499278 0,00122883875863098
57283,5572636963 0,00121554875227723
58177,9070774648 0,00133668709620991
59072,2568912333 0,00140018015899177
59966,6067050018 0,00128816592275888
60860,9565187702 0,00118707981282289
61755,3063325387 0,000807847594755352
62649,6561463072 0,000956815688689858
63544,0059600757 0,00106299351088056
64438,3557738442 0,0012352254140619
65332,7055876126 0,000833735823940865
66227,0554013811 0,000833568235693568
67121,4052151496 0,000532883064063127
68015,7550289181 0,00109577174725498
68910,1048426865 0,000806954640883266
69804,454656455 0,000597886705246592
70698,8044702235 0,000909829006400688
71593,154283992 0,000501925666031051
72487,5040977605 0,000503314315487687
73381,853911529 0,000527368017028766
74276,2037252974 0,000509714906412166
75170,5535390659 0,000441299629439967
76064,9033528344 0,000406517592456178
76959,2531666029 0,000337638380157538
77853,6029803714 0,000297726095125235
78747,9527941398 0,000273002614305944
79642,3026079083 0,000241968279129967
80536,6524216768 0,00019483085815904
81431,0022354453 0,000189296881647315
82325,3520492138 0,00010134121487583
83219,7018629822 0,000136590740897956
84114,0516767507 9,29037144274374E-05
85008,4014905192 6,56505141250923E-05
85902,7513042877 2,34971602088075E-05
86797,1011180562 4,46486869941231E-06
87691,4509318246 2,34750662924708E-05
88585,8007455931 3,5334346247137E-05
89480,1505593616 6,66803516272619E-05
90374,5003731301 3,19852554430156E-05
91268,8501868986 6,26719536698905E-05
92163,200000667 5,51627652631439E-05
93057,5498144355 6,21092116586714E-05
93951,899628204 7,80629056657022E-05
94846,2494419725 9,98801207448332E-05
95740,599255741 8,94016268873473E-05
96634,9490695094 0,00012826070662662
97529,2988832779 9,39752658932432E-05
98423,6486970464 9,15249701850628E-05
99317,9985108149 7,77883920029757E-05
100212,348324583 8,64134780445959E-05
101106,698138352 6,60063697371683E-05
102001,04795212 5,82452509613207E-05
102895,397765889 7,56514795937537E-05
103789,747579657 6,06059245690971E-05
104684,097393426 7,44393022215048E-05
105578,447207194 5,79047828294115E-05
106472,797020963 6,0692132136853E-05
107367,146834731 4,5202292717099E-05
108261,4966485 5,38553785237483E-06
109155,846462268 1,99398955248957E-05
110050,196276037 2,39335636515419E-05
110944,546089805 2,93664643949755E-05
111838,895903574 6,38728465708539E-05
112733,245717342 2,3185805122986E-05
113627,595531111 3,44310079506504E-05
114521,945344879 3,83758850245177E-05
115416,295158648 3,22405309536176E-05
116310,644972416 4,28044382096816E-05
117204,994786185 5,74566207352505E-05
118099,344599953 3,28882822160486E-05
118993,694413721 2,62984432311709E-05
119888,04422749 7,23480875477904E-05
120782,394041258 8,95754133092551E-05
121676,743855027 1,6517129501052E-05
122571,093668795 4,1995206121096E-05
123465,443482564 5,52913850917541E-06
124359,793296332 4,92879697382317E-05
125254,143110101 7,5821590342573E-05
126148,492923869 6,4069162809433E-05
127042,842737638 3,24396352222008E-05
127937,192551406 5,41341421580311E-05
128831,542365175 3,99094952087591E-06
129725,892178943 2,12564605859387E-05
130620,241992712 4,31798051753951E-05
131514,59180648 3,56167911255766E-05
132408,941620249 7,62300715343691E-05
133303,291434017 7,44811392313214E-06
134197,641247786 3,55176033850268E-05
135091,991061554 6,48474612104598E-05
135986,340875323 2,39809324528292E-05
136880,690689091 4,15899573652912E-05
137775,04050286 3,53569140194487E-05
138669,390316628 3,46059221285218E-05
139563,740130397 2,78197852246103E-05
140458,089944165 4,87057480560007E-05
141352,439757933 4,14591485896068E-05
142246,789571702 7,49869127503615E-05
143141,13938547 0,000110022482763936
144035,489199239 3,79707844634188E-05
144929,839013007 1,91547712058417E-05
145824,188826776 3,73132592066287E-05
146718,538640544 2,01084885003423E-05
147612,888454313 2,79538530157181E-05
148507,238268081 1,23969132210533E-05
