5411,26806512444 1,76682829775828E-06
6305,61787889292 1,2114708197988E-06
7199,9676926614 8,18645657256472E-07
8094,31750642988 1,27876389422338E-06
8988,66732019836 6,94775413076566E-07
9883,01713396685 1,65337629102955E-06
10777,3669477353 1,17329853574974E-06
11671,7167615038 1,50042003930838E-06
12566,0665752723 1,51657764844873E-06
13460,4163890408 1,1253691807716E-06
14354,7662028092 6,0958531941282E-07
15249,1160165777 5,95188831543755E-07
16143,4658303462 4,62768933890598E-07
17037,8156441147 1,45678332961266E-06
17932,1654578832 4,93630686377117E-07
18826,5152716517 1,40871249834898E-06
19720,8650854201 1,68108259202035E-06
20615,2148991886 3,96750385625533E-07
21509,5647129571 5,72596632009227E-07
22403,9145267256 1,04099748165847E-06
23298,2643404941 8,8079591184868E-07
24192,6141542625 1,04672505419885E-06
25086,963968031 5,29222353886789E-07
25981,3137817995 1,02080092464059E-07
26875,663595568 1,39642408311968E-06
27770,0134093365 1,50217393318537E-06
28664,3632231049 8,54213168052678E-07
29558,7130368734 5,54582723515371E-07
30453,0628506419 3,56037359314458E-07
31347,4126644104 3,66463564016011E-07
32241,7624781789 9,70703041517084E-07
33136,1122919473 1,72864981878807E-07
34030,4621057158 9,83853181692432E-07
34924,8119194843 9,55454591734517E-07
35819,1617332528 9,51074212220059E-07
36713,5115470213 1,25897228610414E-06
37607,8613607897 6,59230776485059E-07
38502,2111745582 8,10733176481149E-07
39396,5609883267 1,8467803617719E-07
40290,9108020952 4,5383789007584E-07
41185,2606158637 8,41775705105748E-07
42079,6104296321 1,21896374420198E-06
42973,9602434006 6,84882138053438E-07
43868,3100571691 5,54768287428251E-07
44762,6598709376 6,84029359613678E-07
45657,0096847061 8,57265326392199E-07
46551,3594984745 1,2509342392355E-06
47445,709312243 5,38503094604497E-07
48340,0591260115 2,54645569268267E-07
49234,40893978 7,03734871401405E-07
50128,7587535485 5,63169394134675E-07
51023,1085673169 1,53394918490365E-07
51917,4583810854 9,65019278418974E-07
52811,8081948539 6,13724111803043E-07
53706,1580086224 8,95150842367334E-07
54600,5078223909 1,21335383727274E-06
55494,8576361594 9,94324636211033E-07
56389,2074499278 1,06774540892582E-06
57283,5572636963 2,16041680829055E-07
58177,9070774648 6,59874823864623E-07
59072,2568912333 9,01511854057422E-07
59966,6067050018 7,26081270922684E-07
60860,9565187702 1,13665932313819E-06
61755,3063325387 1,90575078235049E-06
62649,6561463072 2,23712354345355E-06
63544,0059600757 2,59059976161333E-07
64438,3557738442 2,28388857873384E-06
65332,7055876126 2,03436144481136E-06
66227,0554013811 1,31483188776124E-06
