5411,26806512444 5,07625374588231E-06
6305,61787889292 3,63576517980963E-06
7199,9676926614 2,07679649523708E-05
8094,31750642988 1,13485284402431E-05
8988,66732019836 1,05189306204896E-05
9883,01713396685 8,90561261004542E-06
10777,3669477353 3,79539771857461E-06
11671,7167615038 6,76030458731546E-06
12566,0665752723 3,24034581657392E-06
13460,4163890408 8,6033440622211E-06
14354,7662028092 1,38250825476339E-05
15249,1160165777 3,96698205580958E-05
16143,4658303462 9,3569385897165E-06
17037,8156441147 4,98796277625847E-05
17932,1654578832 3,32799275140252E-05
18826,5152716517 0,000113665483022012
19720,8650854201 0,00010705423788788
20615,2148991886 0,000129331967095918
21509,5647129571 0,000146780037305601
22403,9145267256 6,51697913307517E-05
23298,2643404941 0,000198660008118509
24192,6141542625 4,90826136183436E-05
25086,963968031 0,000304734032445422
25981,3137817995 0,00028090353321836
26875,663595568 0,000344203312680645
27770,0134093365 0,000244759485775925
28664,3632231049 0,000210242248797439
29558,7130368734 0,000257512877229513
30453,0628506419 0,000304606112068555
31347,4126644104 0,000396712797719814
32241,7624781789 0,000409425530313237
33136,1122919473 0,000562571626341168
34030,4621057158 0,000527524244596903
34924,8119194843 0,000570602342326317
35819,1617332528 0,000374209259089613
36713,5115470213 0,000510136833267395
37607,8613607897 0,000569367757833166
38502,2111745582 0,000253445824843338
39396,5609883267 0,000753314937247759
40290,9108020952 0,000589900399011676
41185,2606158637 0,000646845108059793
42079,6104296321 0,000853068095860337
42973,9602434006 0,000686213123123391
43868,3100571691 0,00059108283098659
44762,6598709376 0,000485849008790279
45657,0096847061 0,000332628900159802
46551,3594984745 0,000551916136677963
47445,709312243 0,000194334441417899
48340,0591260115 0,000601274761257345
49234,40893978 0,000630638102787839
50128,7587535485 0,000605541834717261
51023,1085673169 0,00067435607306957
51917,4583810854 0,000953920522691054
52811,8081948539 0,000742169349075443
53706,1580086224 0,000697493538527572
54600,5078223909 0,000725982592711947
55494,8576361594 0,000483793391515806
56389,2074499278 0,00067952945019516
57283,5572636963 0,000212897386312489
58177,9070774648 0,000425072055376353
59072,2568912333 0,000399781761856034
59966,6067050018 0,000142787493674421
60860,9565187702 0,000272578501880402
61755,3063325387 0,000357365326145026
62649,6561463072 0,000406613772302917
63544,0059600757 0,000389599754652278
64438,3557738442 0,00041691628861755
65332,7055876126 0,000477959974949078
66227,0554013811 0,000303875388536309
67121,4052151496 0,000335904281316616
68015,7550289181 0,00026467073744439
68910,1048426865 0,000188646406633484
69804,454656455 0,000235733894525621
70698,8044702235 0,000140371168327645
71593,154283992 0,000177080051255426
72487,5040977605 0,000167982318738227
73381,853911529 0,000107696116157705
74276,2037252974 5,30440953713696E-05
75170,5535390659 6,72839488598857E-05
76064,9033528344 6,75087873445293E-05
76959,2531666029 5,12907957491816E-05
77853,6029803714 7,2226964261929E-05
78747,9527941398 8,80008629001884E-05
79642,3026079083 6,85498545296252E-05
80536,6524216768 8,70947955035466E-05
81431,0022354453 8,54107218859821E-05
82325,3520492138 6,71555297714546E-05
83219,7018629822 4,10445157813586E-05
84114,0516767507 3,8164853492657E-05
85008,4014905192 2,77385429107646E-05
85902,7513042877 7,21565031467745E-06
86797,1011180562 7,13850011915886E-06
87691,4509318246 9,45856293542402E-06
88585,8007455931 4,84660505912464E-06
89480,1505593616 6,5324537166703E-06
90374,5003731301 5,03796374811164E-06
91268,8501868986 3,69676659175521E-06
92163,200000667 4,54640281523606E-06
93057,5498144355 6,56777495771398E-06
93951,899628204 1,55385596834849E-05
94846,2494419725 1,71996434947606E-05
95740,599255741 1,45084864212679E-05
96634,9490695094 1,59970434959603E-05
97529,2988832779 2,55837357336484E-05
98423,6486970464 2,2911385639161E-05
99317,9985108149 2,35219299080752E-05
100212,348324583 2,32624154083808E-05
101106,698138352 1,98505014653467E-05
102001,04795212 1,24797380571788E-05
102895,397765889 1,61236224640601E-05
103789,747579657 1,48091137815093E-05
104684,097393426 2,15229780374152E-05
105578,447207194 1,84598505680927E-05
106472,797020963 1,21193936117309E-05
107367,146834731 3,86446768273041E-06
108261,4966485 8,62135965940555E-06
109155,846462268 7,57585664310242E-06
110050,196276037 2,60392848444994E-06
110944,546089805 5,06502494709064E-06
111838,895903574 3,98030035736347E-06
112733,245717342 2,28627409534549E-06
113627,595531111 5,29604175583463E-06
114521,945344879 4,12217362346705E-06
115416,295158648 3,7488067456624E-06
116310,644972416 6,20024479798314E-06
117204,994786185 9,13050878004283E-06
118099,344599953 8,08762886815975E-06
118993,694413721 1,044699842986E-05
119888,04422749 1,20640662763772E-05
120782,394041258 6,26891869203961E-06
121676,743855027 1,15952300431316E-05
122571,093668795 8,29522252153883E-06
123465,443482564 1,01981189473682E-05
124359,793296332 1,37141428632518E-05
125254,143110101 8,44720663356714E-06
126148,492923869 1,1730607828922E-05
127042,842737638 1,0498848830619E-05
127937,192551406 1,31903463129156E-05
128831,542365175 1,01615216960397E-05
129725,892178943 8,68289086390551E-06
130620,241992712 2,28807456468622E-06
131514,59180648 4,43065407162246E-06
132408,941620249 4,15808993393779E-06
133303,291434017 1,98338357071962E-06
134197,641247786 3,21310256145384E-06
135091,991061554 3,75701720462877E-06
135986,340875323 1,99918846124357E-06
136880,690689091 2,71663792019513E-06
137775,04050286 5,34969722105708E-06
138669,390316628 2,67778662662964E-06
139563,740130397 5,00348221740346E-06
140458,089944165 1,75975815872422E-06
141352,439757933 4,7722369367381E-06
142246,789571702 3,0569701138139E-06
143141,13938547 2,96901676520176E-06
144035,489199239 4,44929138097945E-06
144929,839013007 5,19608431534694E-06
145824,188826776 6,20459557645635E-06
146718,538640544 6,04168097603407E-06
147612,888454313 9,98539588494449E-06
148507,238268081 1,14785718294212E-05
149401,58808185 9,78585707238384E-06
150295,937895618 6,15777436277579E-06
151190,287709387 5,02565272033856E-06
152084,637523155 1,05343691256031E-05
152978,987336924 3,152083173958E-06
153873,337150692 5,49505836246866E-06
154767,686964461 7,95929976489961E-06
155662,036778229 3,459190784353E-06
156556,386591998 2,16149680943906E-06
157450,736405766 4,70493552893793E-06
158345,086219535 4,42400657202224E-06
159239,436033303 7,56949557367431E-06
160133,785847072 4,185437167869E-06
161028,13566084 2,55315476381312E-06
161922,485474609 3,45148910889616E-06
162816,835288377 1,92787303787101E-06
163711,185102145 1,03066506912215E-06
164605,534915914 5,40311356384386E-06
165499,884729682 5,70144222841569E-06
166394,234543451 2,90996463427853E-06
167288,584357219 4,58871697392087E-06
168182,934170988 3,32673096231054E-06
169077,283984756 5,54590897797286E-06
169971,633798525 4,94163525198367E-06
170865,983612293 4,49873196706421E-06
171760,333426062 7,12356582716253E-06
172654,68323983 6,92751563284668E-06
173549,033053599 4,37342785899157E-06
174443,382867367 2,89887743743776E-06
175337,732681136 8,5549549098733E-06
176232,082494904 6,63533454491248E-06
177126,432308673 3,88701046095528E-06
178020,782122441 7,09880989125516E-06
178915,13193621 6,4774114603392E-06
179809,481749978 5,33730340296171E-06
180703,831563747 3,74086145765941E-06
181598,181377515 5,47854588279136E-06
182492,531191284 5,65793775499402E-06
183386,881005052 1,73524345656965E-06
184281,230818821 4,78050097780212E-06
185175,580632589 3,66105610176558E-06
186069,930446357 4,31342539524921E-07
186964,280260126 5,14330558688769E-06
187858,630073894 6,76250870217358E-06
188752,979887663 3,10644465250298E-06
189647,329701431 2,762409075456E-06
190541,6795152 2,47658144977013E-07
191436,029328968 7,82076475466824E-06
192330,379142737 3,00806081229257E-06
193224,728956505 4,42586841687642E-06
194119,078770274 4,01700019495965E-06
195013,428584042 4,71378996494128E-06
195907,778397811 8,09385144168775E-06
196802,128211579 7,37441195449504E-06
197696,478025348 7,73068996010477E-06
198590,827839116 7,80495549975621E-06
199485,177652885 7,18639787238373E-06
200379,527466653 7,28185112529823E-06
201273,877280422 8,15210357201376E-06
202168,22709419 4,31007225380141E-06
203062,576907959 1,08363007267815E-05
203956,926721727 6,17184630279171E-06
204851,276535496 5,57585364473323E-06
205745,626349264 2,47311519111207E-06
