5411,26806512444 7,54330000140634E-07
6305,61787889292 9,15746709580818E-07
7199,9676926614 1,3464921628311E-07
8094,31750642988 1,09198219671287E-06
8988,66732019836 1,21427855772793E-07
9883,01713396685 8,12334721810354E-07
10777,3669477353 9,13902574029193E-07
11671,7167615038 1,14408775255667E-06
12566,0665752723 1,12250782424727E-06
13460,4163890408 8,66174438828505E-07
14354,7662028092 1,43438945495471E-06
15249,1160165777 9,37714447807476E-07
16143,4658303462 9,71758954585421E-07
17037,8156441147 8,27621545921013E-07
17932,1654578832 1,04688596608865E-06
18826,5152716517 1,03580434428048E-06
19720,8650854201 1,23226075068173E-06
20615,2148991886 8,12267682625011E-07
21509,5647129571 2,64949558938885E-07
22403,9145267256 5,67650125492909E-07
23298,2643404941 5,48244984974169E-07
24192,6141542625 7,12389442991119E-07
25086,963968031 1,87860895458515E-07
25981,3137817995 1,01223862323324E-06
26875,663595568 5,73150646144079E-07
27770,0134093365 5,2094755261182E-07
28664,3632231049 1,19560508654938E-06
29558,7130368734 1,12229034109848E-06
30453,0628506419 8,41074438299028E-07
31347,4126644104 8,33469853838649E-07
32241,7624781789 4,7284690683416E-07
33136,1122919473 5,9399976628772E-07
34030,4621057158 1,04107826512874E-06
34924,8119194843 4,99977368536025E-07
35819,1617332528 2,87182845480707E-07
36713,5115470213 7,50521674087784E-07
37607,8613607897 1,26037263520355E-06
38502,2111745582 1,12183363058723E-06
39396,5609883267 1,15623364687451E-06
40290,9108020952 6,34700964569477E-07
41185,2606158637 1,83929866140952E-06
42079,6104296321 2,22506588941233E-07
42973,9602434006 2,67042168146799E-07
43868,3100571691 8,94837728726222E-07
44762,6598709376 1,27083999625159E-06
45657,0096847061 6,1161052207495E-07
46551,3594984745 8,77921598122868E-07
47445,709312243 1,42403129935998E-06
48340,0591260115 4,30756522272428E-07
49234,40893978 1,09242366045187E-06
50128,7587535485 2,28533143598898E-06
51023,1085673169 1,34505007410517E-07
51917,4583810854 7,65081689667167E-07
52811,8081948539 2,95914994893315E-07
53706,1580086224 1,25686089996587E-06
54600,5078223909 8,46104158440797E-07
55494,8576361594 8,61825568331316E-07
56389,2074499278 3,5857443771901E-07
57283,5572636963 1,25793325893236E-06
58177,9070774648 9,26129219998813E-07
59072,2568912333 8,96378019626141E-08
59966,6067050018 8,98546190778507E-07
60860,9565187702 1,25901968771128E-06
61755,3063325387 2,3700668220158E-06
62649,6561463072 1,36058734043542E-06
63544,0059600757 6,10021470935014E-07
64438,3557738442 1,39259001185623E-06
65332,7055876126 1,87716348286691E-06
66227,0554013811 1,1160752965207E-06
67121,4052151496 2,34417147206949E-06
68015,7550289181 2,14219593850995E-06
68910,1048426865 1,64590669320701E-06
69804,454656455 2,12551597577278E-06
70698,8044702235 2,46203583756597E-06
71593,154283992 7,55285706664296E-07
72487,5040977605 7,30736336400466E-07
73381,853911529 5,59626413465194E-07
74276,2037252974 5,86796311358045E-07
75170,5535390659 1,75234194871529E-07
76064,9033528344 4,49541795672755E-07
76959,2531666029 9,13017780600501E-07
77853,6029803714 7,94902176510893E-07
78747,9527941398 3,52335260893819E-07
79642,3026079083 3,61661353208085E-07
80536,6524216768 4,70833535155205E-07
81431,0022354453 3,54343060175535E-07
82325,3520492138 9,54908017281127E-07
83219,7018629822 1,0822305655487E-06
84114,0516767507 2,64264174506652E-07
85008,4014905192 7,58624070298713E-07
85902,7513042877 6,5527041089515E-07
86797,1011180562 4,70513152947855E-07
87691,4509318246 1,01078652577492E-06
88585,8007455931 4,26995761131865E-07
89480,1505593616 1,008438992739E-07
90374,5003731301 6,74174676515998E-07
91268,8501868986 6,20982171463229E-07
92163,200000667 2,08778339209957E-07
93057,5498144355 5,17796630065739E-07
93951,899628204 8,60392759328967E-07
94846,2494419725 3,80219631815565E-07
95740,599255741 2,76866188444395E-07
96634,9490695094 3,43846965115822E-07
97529,2988832779 1,88148356975187E-07
98423,6486970464 5,98687640388259E-07
99317,9985108149 2,9167347096586E-07
100212,348324583 2,88377046699001E-07
101106,698138352 5,46472804418215E-07
102001,04795212 1,76400360056325E-07
102895,397765889 9,11823755939321E-07
103789,747579657 4,50227484740282E-07
104684,097393426 6,75054037393618E-07
105578,447207194 6,72630766417615E-07
106472,797020963 6,58852476422729E-07
107367,146834731 1,08305732109333E-07
108261,4966485 1,66065169926868E-07
109155,846462268 1,98181695908282E-07
110050,196276037 4,20742630458637E-07
110944,546089805 6,06027706744591E-07
111838,895903574 4,25328022106098E-07
112733,245717342 4,28863162233125E-07
113627,595531111 4,90284038858218E-07
114521,945344879 6,4778176397799E-07
115416,295158648 2,10913787203286E-07
116310,644972416 4,65004634782432E-07
117204,994786185 2,48751890503671E-07
118099,344599953 2,0524112101071E-07
118993,694413721 8,06371155706469E-07
119888,04422749 7,6553046997494E-07
120782,394041258 1,00155772651284E-06
121676,743855027 6,72564983697513E-07
122571,093668795 3,75154614144554E-07
123465,443482564 3,55731120489044E-07
124359,793296332 2,94707474923628E-07
125254,143110101 7,12653711192497E-07
126148,492923869 8,38888833411312E-07
127042,842737638 4,85142827129565E-07
127937,192551406 3,60288312436143E-07
128831,542365175 1,43308421928244E-07
129725,892178943 5,07007357822127E-07
130620,241992712 4,94401757392815E-07
131514,59180648 7,84502417998599E-07
132408,941620249 5,90885793923381E-07
133303,291434017 9,12977972333903E-07
134197,641247786 4,22841891628962E-07
135091,991061554 4,78618493333971E-07
135986,340875323 2,58052737836565E-07
136880,690689091 4,32827586821725E-07
137775,04050286 5,52457639510821E-07
138669,390316628 6,38072419487057E-07
139563,740130397 5,0970281721259E-07
140458,089944165 2,39894203394763E-07
141352,439757933 5,67662641938688E-07
142246,789571702 7,49370290412242E-07
143141,13938547 4,49379995461513E-07
144035,489199239 8,91768733658895E-07
144929,839013007 3,17653556894495E-07
145824,188826776 5,89312652872662E-07
146718,538640544 6,08926500814455E-07
147612,888454313 5,76360784785501E-07
148507,238268081 9,79570385638406E-07
149401,58808185 2,65842894907647E-07
150295,937895618 5,1889735872533E-07
151190,287709387 5,53997573252809E-07
152084,637523155 4,75332819045442E-07
152978,987336924 4,44935210354182E-07
153873,337150692 3,03248659378911E-07
154767,686964461 5,53854533140151E-08
155662,036778229 2,41836628817686E-07
156556,386591998 2,75808451992748E-07
157450,736405766 3,87958534415844E-07
158345,086219535 4,26757401947459E-07
159239,436033303 7,63438817690537E-08
160133,785847072 4,71128429542448E-07
161028,13566084 7,92584430583543E-07
161922,485474609 4,85826726351169E-07
162816,835288377 2,89963729984365E-07
163711,185102145 1,91130619307904E-07
164605,534915914 3,69067013220658E-07
165499,884729682 4,96506404921148E-07
166394,234543451 3,31404345498568E-08
167288,584357219 3,30934737854315E-07
168182,934170988 5,86151925262878E-07
169077,283984756 1,59261806873751E-07
169971,633798525 3,76344681527989E-07
170865,983612293 4,49142569098415E-07
171760,333426062 1,14687467928699E-06
172654,68323983 8,24290625128149E-07
173549,033053599 2,22600212603034E-07
174443,382867367 4,59976175090821E-07
175337,732681136 4,22315546489255E-07
176232,082494904 6,99218871196113E-08
177126,432308673 8,33580393411524E-07
178020,782122441 7,14740850181051E-07
178915,13193621 3,79611119600204E-07
179809,481749978 3,23364756868854E-07
180703,831563747 1,39788015371721E-06
181598,181377515 1,80712490602342E-07
182492,531191284 7,87312957876058E-07
183386,881005052 9,02362963751041E-07
184281,230818821 9,15953860774559E-07
185175,580632589 3,33849312428776E-07
186069,930446357 6,37320119338832E-07
186964,280260126 3,45299824755086E-07
187858,630073894 3,79358301058272E-07
188752,979887663 3,82561701126242E-07
189647,329701431 5,86841143297909E-07
190541,6795152 5,7521061606063E-07
191436,029328968 7,74761514642009E-07
192330,379142737 1,29641624715079E-06
193224,728956505 7,47975590642561E-07
194119,078770274 6,24157927625741E-07
195013,428584042 4,58571343611286E-07
195907,778397811 4,09816042258482E-07
196802,128211579 1,11107426083846E-06
197696,478025348 8,47218392398336E-07
198590,827839116 2,75789254535373E-07
199485,177652885 8,98843637189488E-07
200379,527466653 5,71360348470093E-07
201273,877280422 7,6541603958318E-07
202168,22709419 1,0840615962127E-06
203062,576907959 7,04133568870021E-07
203956,926721727 4,69933721328963E-07
204851,276535496 1,06436342106954E-06
205745,626349264 7,9562943220655E-07
206639,976163033 2,66615580692314E-07
207534,325976801 8,09675916689971E-07
208428,675790569 3,6829481372043E-07
209323,025604338 2,41601045454137E-07
210217,375418106 3,07277767710453E-07
211111,725231875 1,46298678193373E-07
212006,075045643 9,21843894135029E-07
212900,424859412 1,4015911367377E-07
213794,77467318 2,66717838294554E-07
214689,124486949 6,70189712281878E-07
215583,474300717 4,99053294506741E-07
216477,824114486 5,04006790889429E-07
217372,173928254 6,83337875048878E-07
218266,523742023 3,50197789489606E-07
219160,873555791 6,4829761570808E-07
220055,22336956 6,57150804531224E-07
220949,573183328 3,13373009952332E-07
221843,922997097 5,0465662434082E-07
222738,272810865 7,21753211064057E-07
223632,622624634 4,84894765325738E-07
224526,972438402 7,68946735206609E-07
225421,322252171 5,09638111252435E-07
226315,672065939 2,97675573994625E-07
227210,021879708 6,79209188580773E-07
228104,371693476 2,77984014927498E-07
228998,721507245 7,54867160632146E-07
229893,071321013 1,20590377767986E-06
230787,421134782 6,20429455508143E-07
231681,77094855 2,90865813966041E-07
232576,120762318 9,33417483057983E-07
233470,470576087 2,31685144993582E-07
234364,820389855 1,62458984590925E-07
235259,170203624 3,75788481478652E-07
236153,520017392 5,02770091141298E-07
237047,869831161 1,32377103363281E-07
237942,219644929 3,91247165753977E-07
238836,569458698 1,32141302240103E-06
239730,919272466 2,91026105453014E-07
240625,269086235 8,6771032614955E-07
241519,618900003 2,53920650277011E-07
242413,968713772 1,04984599608191E-06
243308,31852754 5,39479051740704E-07
244202,668341309 6,99197964744883E-07
245097,018155077 7,16786903106356E-07
245991,367968846 3,41352963226908E-07
246885,717782614 5,32784746695782E-07
247780,067596383 7,04636923505734E-07
248674,417410151 5,62451120594888E-07
249568,76722392 4,52315866166752E-07
250463,117037688 5,26006615822433E-07
251357,466851457 1,82731195063768E-07
252251,816665225 2,69212027384437E-07
253146,166478994 3,55330182643072E-07
254040,516292762 1,06279261571485E-06
254934,86610653 5,79938420369623E-07
255829,215920299 3,57420838348613E-07
256723,565734067 4,70871922805414E-07
257617,915547836 5,64583729811275E-07
258512,265361604 5,89881730397537E-07
259406,615175373 5,24165747102253E-07
260300,964989141 9,34714775808439E-07
261195,31480291 1,25778664506073E-06
262089,664616678 4,3141401659565E-07
262984,014430447 1,34773559641348E-06
263878,364244215 2,43718321728993E-07
264772,714057984 5,46420353173735E-07
265667,063871752 5,34147271604731E-07
266561,413685521 4,65445905874192E-07
